,base,quote,symbol_a,symbol_b
0,BIO,USDT,BIO/USDT:USDT,BIO/USDT:USDT
1,SUI,USDT,SUI/USDT:USDT,SUI/USDT:USDT
2,ETH,USDC,ETH/USDC:USDC,ETH/USDC:USDC
3,MOVR,USDT,MOVR/USDT:USDT,MOVR/USDT:USDT
4,LRC,USDT,LRC/USDT:USDT,LRC/USDT:USDT
5,UMA,USDT,UMA/USDT:USDT,UMA/USDT:USDT
6,RENDER,USDT,RENDER/USDT:USDT,RENDER/USDT:USDT
7,ZETA,USDT,ZETA/USDT:USDT,ZETA/USDT:USDT
8,JTO,USDT,JTO/USDT:USDT,JTO/USDT:USDT
9,ATOM,USDT,ATOM/USDT:USDT,ATOM/USDT:USDT
10,JUP,USDT,JUP/USDT:USDT,JUP/USDT:USDT
11,MOODENG,USDT,MOODENG/USDT:USDT,MOODENG/USDT:USDT
12,AVAAI,USDT,AVAAI/USDT:USDT,AVAAI/USDT:USDT
13,TRB,USDT,TRB/USDT:USDT,TRB/USDT:USDT
14,YGG,USDT,YGG/USDT:USDT,YGG/USDT:USDT
15,AR,USDT,AR/USDT:USDT,AR/USDT:USDT
16,PNUT,USDT,PNUT/USDT:USDT,PNUT/USDT:USDT
17,EIGEN,USDT,EIGEN/USDT:USDT,EIGEN/USDT:USDT
18,STORJ,USDT,STORJ/USDT:USDT,STORJ/USDT:USDT
19,POPCAT,USDT,POPCAT/USDT:USDT,POPCAT/USDT:USDT
20,MKR,USDT,MKR/USDT:USDT,MKR/USDT:USDT
21,AEVO,USDT,AEVO/USDT:USDT,AEVO/USDT:USDT
22,QTUM,USDT,QTUM/USDT:USDT,QTUM/USDT:USDT
23,ARB,USDT,ARB/USDT:USDT,ARB/USDT:USDT
24,GOAT,USDT,GOAT/USDT:USDT,GOAT/USDT:USDT
25,CHZ,USDT,CHZ/USDT:USDT,CHZ/USDT:USDT
26,NEO,USDT,NEO/USDT:USDT,NEO/USDT:USDT
27,ACH,USDT,ACH/USDT:USDT,ACH/USDT:USDT
28,ZRX,USDT,ZRX/USDT:USDT,ZRX/USDT:USDT
29,POL,USDT,POL/USDT:USDT,POL/USDT:USDT
30,CVX,USDT,CVX/USDT:USDT,CVX/USDT:USDT
31,HBAR,USDT,HBAR/USDT:USDT,HBAR/USDT:USDT
32,AUCTION,USDT,AUCTION/USDT:USDT,AUCTION/USDT:USDT
33,BADGER,USDT,BADGER/USDT:USDT,BADGER/USDT:USDT
34,DYDX,USDT,DYDX/USDT:USDT,DYDX/USDT:USDT
35,LAYER,USDT,LAYER/USDT:USDT,LAYER/USDT:USDT
36,SOLV,USDT,SOLV/USDT:USDT,SOLV/USDT:USDT
37,ENS,USDT,ENS/USDT:USDT,ENS/USDT:USDT
38,WIF,USDT,WIF/USDT:USDT,WIF/USDT:USDT
39,VANA,USDT,VANA/USDT:USDT,VANA/USDT:USDT
40,PENGU,USDT,PENGU/USDT:USDT,PENGU/USDT:USDT
41,GMT,USDT,GMT/USDT:USDT,GMT/USDT:USDT
42,ICP,USDT,ICP/USDT:USDT,ICP/USDT:USDT
43,AAVE,USDT,AAVE/USDT:USDT,AAVE/USDT:USDT
44,IMX,USDT,IMX/USDT:USDT,IMX/USDT:USDT
45,CFX,USDT,CFX/USDT:USDT,CFX/USDT:USDT
46,ETHFI,USDT,ETHFI/USDT:USDT,ETHFI/USDT:USDT
47,AIXBT,USDT,AIXBT/USDT:USDT,AIXBT/USDT:USDT
48,CATI,USDT,CATI/USDT:USDT,CATI/USDT:USDT
49,RDNT,USDT,RDNT/USDT:USDT,RDNT/USDT:USDT
50,BERA,USDT,BERA/USDT:USDT,BERA/USDT:USDT
51,PEOPLE,USDT,PEOPLE/USDT:USDT,PEOPLE/USDT:USDT
52,GLM,USDT,GLM/USDT:USDT,GLM/USDT:USDT
53,GRT,USDT,GRT/USDT:USDT,GRT/USDT:USDT
54,APT,USDT,APT/USDT:USDT,APT/USDT:USDT
55,DOGS,USDT,DOGS/USDT:USDT,DOGS/USDT:USDT
56,FARTCOIN,USDT,FARTCOIN/USDT:USDT,FARTCOIN/USDT:USDT
57,ID,USDT,ID/USDT:USDT,ID/USDT:USDT
58,RVN,USDT,RVN/USDT:USDT,RVN/USDT:USDT
59,UNI,USDT,UNI/USDT:USDT,UNI/USDT:USDT
60,CELO,USDT,CELO/USDT:USDT,CELO/USDT:USDT
61,MANA,USDT,MANA/USDT:USDT,MANA/USDT:USDT
62,NEAR,USDT,NEAR/USDT:USDT,NEAR/USDT:USDT
63,OP,USDT,OP/USDT:USDT,OP/USDT:USDT
